Ingrediente,Descripción SAP,Código DIA,ID WOE,Cruce SAP,Cruce Formato
SD MEDIO CHEESECAKE LIMON CJ7REB,SD MEDIO CHEESECAKE LIMON CJ7REB1.26KG,17308,156360,ok,review
RB Croissant de Mantequilla,RB Croissant de Mantequilla,15082,,review,review
SII26SSCC16Pony,76587 C1P WN26 CCUP SS PONY 16OZ,16720,152968,ok,review
SII26BTL16Pony,76593 C1P W26 WTBL SS PONY AND FLWR 16OZ,16793,154127,ok,review
SII26SSTu12Pony,76592 C1P WIN TBLR PONNIES 12OZ,16779,154122,ok,review
SII26SSCC20Pony,76586 C1P WN26 CCUP SS PONIES 20OZ,16719,152967,ok,review
SII26BTL20Resort,79885 C2P SM126 WTBL BEAR RB 20OZ,16777,154120,ok,review
SII26SS16Resort,79880 C1P SS TBLR BEARISTA RESORT 16OZ,16610,152547,ok,review
76040 C2B UNICORN PINK POWDER,76040 C2B UNICORN PINK POWDER 500GRS,17479,161816,ok,review
89601 C8B UNICORN BLUE SWT POWDE,89601 C8B UNICORN BLUE SWT POWDER 53GRS,17480,161817,ok,review
84709 1B MANGO SYRUP 1LT,84709 1B MANGO SYRUP 1LT,17481,161818,ok,review
7991 Topping de calabaza2,83929 1B TOPPING CALABAZA 16OZ,7991,149277,ok,review
SII26GICCColor,SII26GICCColor,54192,,review,review
SII26SS12Charm,86646 C2P FL26 SS TMBLR CHRM JOY 12OZ,16997,156346,ok,review
SII26SS20Hand,86658 C2P FL26 SS TMBLR PLL HNDL 20OZ,16998,156347,ok,review
SII26BTLSS20,86659 C2P FL26 SS WTRBTL TWST SP 20OZ,16999,156348,ok,review
SII26SS16Pleat,86650 C2P FL26 SS TMBLR PLTD 16OZ,16995,156344,ok,review
SII26Doodle16,86651 C1P FL26 SS TMBLR DDLE IT 16OZ,17307,156359,ok,review
SII26SSBTL12Aniv,86647 C1P FL26 SS WTRBTL ANNVRSRY 12OZ,17298,156350,ok,review
SII26SS12Aniv,86648 C2P FL26 SS TMBLR ANVRSRY 12OZ,16989,156338,ok,review
SII26Mug14Aniv,86632 C2P FL26 STN MUG SCALIE 14OZ,17299,156351,ok,review
SII26CC24Rain,SII26CC24Rain,54201,,review,review
BIS NAL SUPER CROISSANT CJ40PZAS,BIS NAL SUPER CROISSANT CJ40PZAS,,,review,review
